;datum;jahr;pfr;mitwirkung;art;begleitung;quelle;nr;komponist_vn;komponist;werk;stück;anmerkungen
;01.01.2007;2007;2007;;;;;;;;;;
;04.02.2007;2007;F. Gietenbruch;;GD;H. Brunner;;;Michael;Haydn;Hieronymusmesse;Gloria, Sanctus, Benedictus;
;05.04.2007;2007;;;Passionskonzert;;;;Tomas L.;de Victoria;Motetten;;
;06.04.2007;2007;;;;;;;Michael;Haydn;Hieronymusmesse;;
;06.04.2007;2007;K. Disch;;GD;H. Brunner;;;Tomas L.;de Victoria;Motetten;Popule meus, 0 vos Omnes, Ave Maria;
;06.04.2007;2007;;;;;;;Michael;Haydn;Hieronymusmesse;Credo: Allegro und Largo;
;17.06.2007;2007;F. Gietenbruch K. Disch;;GD;H. Brunner;CH03;;;;;Nun danket all und bringet Ehr;
;17.06.2007;2007;;;;;;;Charles;Gounod;;Pater Noster;
;17.06.2007;2007;;;;;;;Max;Bruch;;Geh aus mein Herz;
;17.06.2007;2007;;;;;;;Johann S.;Bach;;Befiel du deine Wege;
;20.06.2007;2007;;;Kulturständchenim Tammel;;;;;;;Lieder aus Loreley, die Forelle;
;07.07.2007;2007;;;Nauenständchen;;;;;;;Lieder aus Loreley, die Forelle;
;25.11.2007;2007;F. Gietenbruch;;GD Ewigkeitssonntag;H. Brunner Instrumentalisten D. Züger, B. Seifert, H. Rüegg, R. Adam, Ch. Geiser;;;Johann S.;Bach;Ich hatte viel Bekümmernis;Chöre 2,6,9;
;24.12.2007;2007;F. Gietenbruch;;Christnachtfeier;H. Brunner V. Luz, Ch. Zollinger Violine, R. Schmidt Cello;;;Dietrich;Buxtehude;;In dulci jubilo;
;24.12.2007;2007;;;;;;;Joseph I.;Schnabel;;Transeamus;
;24.12.2007;2007;;;;;;;Ignaz;Holzbauer;;Pastorella;
;24.12.2007;2007;;;;;;;Michael;Haydn;;Responsorien 1,2,3;
;01.01.2008;2008;2008;;;;;;;;;;
;03.02.2008;2008;;;GD;;;;Charles;Gounod;;Vater unser;
;03.02.2008;2008;;;;;;;Wolfgang A.;Mozart;;Ave verum;
;21.03.2008;2008;F. Gietenbruch;;GD;H. Brunner;;;Tomas L.;de Victoria;;0 vos omnes;
;21.03.2008;2008;;;;;;;Christoph W.;Gluck;;De profundis;
;21.03.2008;2008;;;;;;;Anton;Bruckner;;Locus iste;
;21.03.2008;2008;;;;;;;Antonio;Lotti;;Miserere;
;24.05.2008;2008;;;Nauenständchen;H. Brunner R. Schuler;EC;;;;;Audite silete Kommt ihr G'spielen Du fragsch, was i möchte singe Ce mois de mai Hymne au soleil Nun ruhen alle Wälder Domine Deus Wir reiten geschwinde ich will den Herrn loben Geh aus mein Herz Ave verum0 du stille Zeit;
;29.06.2012;2012;F. Gietenbruch;;GD;H. Brunner;;;Jan D.;Zelenka;;Teile aus dem Konzertprogramm, ;
;29.06.2012;2012;;;;;;;Antonio;Vivaldi;;Credo;
;20.09.2008;2008;;;Konzert 20./ 21. Sept. 2008;Orchester ad hoc;;;Antonio;Vivaldi;;Credo;
;20.09.2008;2008;;;;;;;Jan D.;Zelenka;Missa Die Filii;Kyrie;
;20.09.2008;2008;;;;;;;Jan D.;Zelenka;;Gloria;
;20.09.2008;2008;;;;;;;Jan D.;Zelenka;;Qui sedes;
;20.09.2008;2008;;;;;;;Jan D.;Zelenka;;Quoniam;
;20.09.2008;2008;;;;;;;Jan D.;Zelenka;;Cum Sancto Spiritu;
;23.11.2008;2008;K. Disch;;GD Ewigkeitssonntag;H. Brunner;;;Antonio;Vivaldi;Credo;Et incarnatus est, Crucifixus;
;23.11.2008;2008;;;;;;;Emanuele;D Astorga;;Christe;
;24.12.2008;2008;K. Disch;;Christnachtfeier;H. Brunner R. Wylenmann Ch. Geiser S. Mächler;;;Ignaz;Holzbauer;;Pastorella;
;24.12.2008;2008;;;;;;;Andreas;Hammerschmidt;;Ihr lieben Hirten;
;24.12.2008;2008;;;;;;;Dietrich;Buxtehude;;in dulci jubilo;
;24.12.2008;2008;;;;;;;Jean-Philipp;Rameau;;La nuit;
;01.01.2009;2009;2009;;;;;;;;;;
;18.01.2009;2009;F. Gietenbruch;;GD Feier Aussenrenovation;H. Brunner;EC;;Johann S.;Bach;;Wachet auf, Gloria, Psallite, Da Pacem Domine;
;01.04.2011;2011;;;Gründonnerstagsfeier;;;;Michael;Haydn;Responsorlen;Eram quasi agnus innocens, Unus ex discipulis meis, Tristis est anima mea, in monte Oliveti, Una hora, Amicus meus;
;13.06.2009;2009;;;Nauenständli;;;;;;;Wie maches de die Zimmerlüt, Einegeligi Riisnegeli, Narrenkanon, Die Gedanken sind frei, In paradisum, Signor Abbate, Der Abt, der reit, Sommarpsalm;
;;1900;;;Serenade Kulturtage;;;;;;;wie Nauenständli;
;05.07.2009;2009;F. Gietenbruch;W. Baumann;Feldgottesdienst;;;;Max;Bruch;;Geh aus mein Herz;
;06.09.2009;2009;F. Gietenbruch;;GD Calvin;H. Brunner;CH04;;;;;Nun saget Dank und lobt den Herren Psalm,  Mein ganzes Herz erhebet dich, ;
;06.09.2009;2009;;;;;CH08;;;;;lch hebe meine Augen auf zu den Bergen;
;22.11.2009;2009;F. Gietenbruch;;GD Ewigkeitssonntag;H. Brunner;;;Johann S.;Bach;;Wachet auf ruft uns die Stimme, 2 Versionen;
;22.11.2009;2009;;;;;;;Felix;Mendelssohn;;Herr, erbarm dich über uns;
;22.11.2009;2009;;;;;;;Georg F.;Händel;;Die im Herren sterben werden selig sein;
;22.11.2009;2009;;;;;;;Felix;Mendelssohn;;Wirf dein Anliegen auf den Herrn;
;24.12.2009;2009;F. Gietenbruch;;Christnachffeier;H. Brunner;;;Michael;Praetorius;;Es ist ein Ros entsprungen;
;24.12.2009;2009;;;;;;;Giovanni;Gabrieli;;Angelus ad pastorem ait;
;24.12.2009;2009;;;;;;;;Rheinberger;;Ex Sion;
;24.12.2009;2009;;;;;;;Michael;Praetorius;;Das neugeborne Kindelein;
;24.12.2009;2009;;;;;;;Johann;Schelle;;Vom Himmei hoch;
;01.01.2010;2010;2010;;;;;;;;;;
;21.03.2012;2012;D. Rohrbach;;GD;Ch. Geiser, R. Wylenmann, S. Mächler;;;Jan D.;Zelenka;Responsorien;Tristis est anima mea, in Monte Oliveti, Una hora;
;01.04.2010;2010;F. Gietenbruch;;Wort und Musik zum Gründonnerstag;Ch. Geiser, R. Wylwnmann, S. Mächler, D. Sailer, H. Brunner;;;Jan D.;Zelenka;Responsorien für die Karwoche;Unus ex discipulis meis, Una hora, In monte Oliveti, Tristis est anima mea, Amicus meus;
;02.04.2010;2010;F. Gietenbruch;;GD Karfreitag;Ch. Geiser, R. Wylenmann, S. Mächler, D. Sailer, H. Brunner;;;Jan D.;Zelenka;Responsorien für die Karwoche;Tenebrae factae sunt, Velum, Templi scissum est;
;27.05.2010;2010;H. Brunner;;Nauenständchen;H. Brunner;;;;;;Es tagt der Sonne Morgenstrahl, Hab oft im Kreise der Lieben, Die Gedanken sind frei, Unser Leben gleicht der Reise, Wohlauf in Gottes schöne Welt, Geh aus mein Herz (Max Bruch), Lasset uns durch Tal und Wälder schweifen, s'isch mer alles eis Ding, Wenn alle Brünnlein fliessen, Kommt ihr G'spielen, Nun ruhen alle Wälder, Alta Trinita Beata, 0 du stille Zeit, Abendstille überall, Guter Mond, du gehst so stille.;
;27.05.2010;2010;K. Disch, F. Gietenbruch;;;;CH08;;;;;Nun saget Dank und lobt den Herren;
;27.05.2010;2010;;;;;;;Peter;Kamm;;En Sege för di;
XXX;27.11.2010;2010;;;Konzerte zum Advent;Orchester ad hoc;;;Johann S.;Bach;Kantate BWV 62;Nun komm, der Heiden Heiland;
;27.11.2010;2010;;;;;;;Wolfgang A.;Mozart;Missa in C KV 317;;
;27.11.2010;2010;;;;;;;Wolfgang A.;Mozart;;Exsultate jubilate KV 165;
;24.12.2012;2012;;;Christnachtfeier;;;;Max;Bruch;;Lasst uns das Kindelein;
;02.04.2011;2011;;;Karfreitag;;;;Michael;Haydn;Responsorium;;
;24.12.2012;2012;;;;;;;Orlando;Gibbons;;Es sangen Gottes Engel;
;24.12.2012;2012;;;;;;;Wolfgang A.;Mozart;Krönungsmesse;Gloria, Da pacem domine;
;01.01.2011;2011;2011;;;;;;;;;;
;06.02.2012;2012;F. Gietenbruch;;GD;H. Brunner;;;Franz;Schubert;Deutsche Messe;Ehre sei Gott, Kyrie in B;
;06.02.2012;2012;;;;;;;Franz;Liszt;;Pater noster;
;06.02.2012;2012;;;;;RU;334;;;;;
;24.12.2012;2012;;;;;;;Michael;Haydn;;Heiligste Nacht;
;02.04.2011;2011;;;;;;;Michael;Haydn;;Domine Deus;
;02.04.2011;2011;;;;;;;Albert;Roussel;;Adoramus te;
;02.04.2011;2011;;;;;;;Melchior;Franck;;Also hat Gott die Welt geliebt;
;24.09.2011;2011;;;Romantische Serenade;Bläseroktett;;;Hans;Huber;Lenz- und Liebeslieder;;
;24.09.2011;2011;;;;;;;Antonin;Dvorak;Klänge aus Mähren;Die wilde Rose, Zuversicht;
;24.09.2011;2011;;;;;;;André;Ducret;;Soir d'octobre;
;24.09.2011;2011;;;;;;;Camille;Saint-Saëns;;Calme des nuits;
;20.11.2011;2011;;;GD Ewigkeitssonntag;;;;Melchior;Franck;;Also hat Gott die Weit geliebt;
;20.11.2011;2011;;;;;;;Albert;Roussel;;Adoramus te;
;20.11.2011;2011;;;;;;;Gabrièl;Fauré;;Cantique de Jean Racine;
;20.11.2011;2011;;;;;;;John;Rutter;;Gott sei stets in mir;
;04.12.2011;2011;;;Vesper;;;;Rolf;Schweizer;;Es ist ein Ros entsprungen;
;04.12.2011;2011;;;;;;;Alessandro;Scarlatti;;Exultate Deo;
;24.12.2011;2011;;;Christnachtfeier;;;;Melchior;Vulpius;;Siehe, ich sende meinen Engel, ;
;24.12.2011;2011;;;;;;;Melchior;Vulpius;;Und alsbald war da bei dem Engel;
;24.12.2011;2011;;;;;;;Alessandro;Scarlatti;;Exultate Deo;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
