;datum;jahr;pfr;mitwirkung;art;begleitung;quelle;nr;komponist_vn;komponist;werk;stück;anmerkungen
;23.11.1997;1997;;;;;;;Antonin;Dvorak;Messe D-Dur;Credo;
;07.12.2012;2012;R. Binkert;;GD 2. Advent Abend;M. Stünzi;;;Antonin;Dvorak;;Es ist ein Ros entsprungen;
;07.12.2012;2012;;;;;;;Antonin;Dvorak;;0 Heiland reiss die Himmel auf;
;07.12.2012;2012;;;;;;;Antonin;Dvorak;;Maria durch ein Dornwald ging;
;07.12.2012;2012;;;;;KGB;218;;;;Kanon Ehre sei Gott,;
;07.12.2012;2012;;;;;KGB;337;;;;Kanon Dona nobis;
;07.12.2012;2012;;;;;KGB;586;;;;Kanon Meine Seele erhebet;
;01.01.1998;1998;1998;;;;;;;;;;
;10.04.1998;1998;R. Binkert;;GD;;;;Franz;Schubert;MesseB-Dur;Kyrie, Agnus Dei;
;10.04.1998;1998;;;;;;;Cesar;Franck;Die sieben Worte Jesu am Kreuz;4. Wort Deus meus;
;17.05.1998;1998;;;Abschied M. Koestler;;;;Heinrich;Schütz;;Singet dem herrn ein neues Lied;
;17.05.1998;1998;;;;;;;Franz;Schubert;Messe in B;;
;13.09.1998;1998;P. Feldmann;;GD;;;;Matyas;Seiber;;Kyrie;
;13.09.1998;1998;;;;;;;Giovanni P.;Palaestrina;;Gloria;
;13.09.1998;1998;;;;;;;Melchior;Franck;;Da Pacem Domine;Kanon
;14.09.1998;1998;;;;;;;;;;;
;30.09.1998;1998;;;Nauengut;;;;Giovanni P.;Palaestrina;;Jubilate Deo;
;30.09.1998;1998;;;;;;;Giovanni P.;Palaestrina;;Gloria;
;30.09.1998;1998;;;;;EC;x;;;;Praise the Lord, Draussen da wachsen.., Belle qui tiens, Alta trinitä, A lieta Vita;
;29.11.1998;1998;R. Binkert;;GD 1. Advent;E. Oess;KGB;370;;;;Tochter Zion;
;29.11.1998;1998;;;;;KGB;367;;;;Wie soll ich dich empfangen;
;29.11.1998;1998;;;;;KGB;182;;;;Kind du bist uns anvertraut;
;29.11.1998;1998;;;;;KGB;361;;;;0 Heiland reiss die Himmel auf;
;29.11.1998;1998;;;;;KGB;318;;;;Sieh das Brot;
;29.11.1998;1998;;;;;KGB;349;;;;Segne und behüte;
;29.11.1998;1998;;;;a capella;KGB;;Heinrich;Kaminsky;;Maria durch ein Dornwald ging;
;30.11.1998;1998;;;;;;;Marc A.;Charpentier;Messe de Minuit pour Noel;Kyrie,;
;01.12.1998;1998;;;;;;;Marc A.;Charpentier;Messe de Minuit pour Noel;Credo;
;02.12.1998;1998;;;;;;;Marc A.;Charpentier;Messe de Minuit pour Noel;Sanctus,;
;03.12.1998;1998;;;;;;;Marc A.;Charpentier;Messe de Minuit pour Noel;Agnus Dei;
;24.12.1998;1998;R. Binkert;;Christnachtfeier;;;;;;;;
;24.12.1998;1998;;;;M. Stünzi, 2, Flöten, Orgel;;;;;;Streichquartett;
;01.01.1999;1999;1999;;;;;;;;;;
;02.04.1999;1999;P. Feldmann;;GD;;;;Felix;Mendelssohn;;Aus tiefer Not;
;02.04.1999;1999;;;;;;;Michel-R;Delalande;;Super flumina;
;02.04.1999;1999;;;;;CH;98;;;;Holz auf Jesu Schulter;
;25.04.1999;1999;R. Binkert;;GD;M. Stünzi;;;Michel-R;Delalande;;Hymnum cactate, Cantate, antate;
;25.04.1999;1999;;;;;;;Marc A.;Charpentier;;In te Domine speravi;
;26.06.1999;1999;;;Konzert;;;;Michel-R;Delalande;;Super flumina Babilonis ;(Psalm 137)
;26.06.1999;1999;;;;;;;Marc A.;Charpentier;;Te Deum;
;07.07.1999;1999;;;Nauengut;"Schüler-Oboenorchester ""Les canards""";;;Marc A.;Charpentier;;Chor 2, Chor 3;
;07.07.1999;1999;;;;;;;;;;Kanon: Wir reiten geschwinde;
;07.07.1999;1999;;;;;;;Johann C.;Bachofen;;Viele verachten die edele Musik..;
;07.07.1999;1999;;;;;;;;;spanisches Volkslied;Ay linda amiga;
;07.07.1999;1999;;;;;;;André;Ducret;;Soir d'octobre;
;07.07.1999;1999;;;;;;;Johann S.;Bach;;Nun ruhen alle Wälder;
;28.11.1999;1999;;;GD 1. Advent;;MBL;82;Georg Ph.;Telemann;;Hosianna dem Sohne David;
