27.01.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	77.50	487.50	438.00	1163.00	926.00	368.00	51.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

28.01.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	121.00	490.00	1044.00	1249.50	1230.00	381.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

29.01.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	205.50	794.50	1436.50	1406.00	1046.00	702.50	298.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00

30.01.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	91.00	99.00	29.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

31.01.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	19.50	23.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

01.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.00	26.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

02.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	46.50	291.50	372.50	482.00	546.50	171.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

03.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	170.00	1002.00	1373.00	679.50	92.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

04.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	84.00	832.50	1050.50	1397.50	1508.50	1370.00	1081.50	209.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

05.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	312.00	1024.00	1404.00	1651.00	1697.50	1516.50	1113.50	408.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

06.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	595.50	1049.00	1276.00	1531.00	1398.50	1059.00	455.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

07.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	120.00	900.00	1333.50	1580.00	1632.50	1488.00	1116.00	425.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

08.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	891.50	1220.00	1471.50	1450.00	1303.50	936.50	229.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

09.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	682.50	1164.00	1398.50	1438.00	1265.50	870.50	95.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

10.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	140.50	872.50	1280.50	1503.00	1554.00	1394.50	1025.50	310.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

11.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	491.00	1535.00	518.50	259.00	267.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

12.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	96.00	786.00	1158.50	1397.50	1450.00	1233.00	584.00	67.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

13.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	580.50	981.50	986.00	1212.50	1023.00	705.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00

14.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.00	810.00	1094.50	1299.00	1337.00	1290.50	920.00	218.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

15.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.00	631.50	870.00	232.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

16.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

17.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	83.00	160.50	205.50	382.50	928.00	606.50	793.50	388.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

18.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	69.50	71.00	259.00	398.00	199.50	164.50	31.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00

19.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	256.50	875.00	1344.50	1598.50	1631.00	858.50	140.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

20.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

21.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

22.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	120.50	216.00	243.50	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

23.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	248.50	909.50	1570.00	1913.50	1147.50	1517.50	1167.00	641.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

24.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	255.00	270.00	428.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

25.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	95.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

26.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	575.50	784.00	528.00	558.00	213.00	417.00	80.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

27.02.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.50	123.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

