HomeCentral
 Falkenstrasse 20
 8630 Rueti
 Datum: 21.08.14 00:00
 
 Startzeit: 2014-08-21 00:00:19 +0100
 106	34	34	61	4	0	65	0	39
 196	34	34	61	4	0	67	0	39
 242	34	34	61	4	0	67	0	39
 290	34	34	61	4	0	68	0	40
 333	34	34	62	4	0	69	0	40
 378	34	34	62	4	0	70	0	39
 423	34	34	62	4	0	70	0	40
 469	34	34	62	4	0	71	0	40
 514	34	34	62	4	0	72	0	40
 559	34	34	62	4	0	73	0	40
 605	34	34	62	4	0	73	0	40
 650	34	34	62	4	0	74	0	40
 695	34	34	62	4	0	75	0	40
 741	34	34	62	4	0	76	0	40
 786	34	34	62	4	0	76	0	40
 831	34	34	62	4	0	77	0	40
 877	34	34	62	4	0	78	0	39
 922	34	34	62	4	0	79	0	40
 968	34	34	62	4	0	80	0	40
 1013	34	34	62	4	0	80	0	40
 1058	34	34	62	4	0	81	0	40
 1104	34	34	62	4	0	82	0	40
 1149	34	34	62	4	0	83	0	40
 1194	34	34	62	4	0	83	0	40
 1240	34	34	62	4	0	84	0	40
 1285	34	34	62	4	0	85	0	40
 1330	34	34	62	4	0	86	0	40
 1376	34	34	62	4	0	86	0	40
 1425	34	34	62	4	0	87	0	40
 1466	34	34	62	4	0	88	0	40
 1512	34	34	62	4	0	89	0	40
 1557	34	34	62	4	0	89	0	40
 1602	34	34	61	4	0	90	0	40
 1648	34	34	62	4	0	91	0	40
 1693	34	34	62	4	0	92	0	40
 1738	34	34	62	4	0	92	0	40
 1784	34	34	61	4	0	93	0	40
 1829	34	34	62	12	0	94	0	40
 1874	34	34	61	12	0	95	0	40
 1965	34	34	62	12	0	96	0	40
 2010	34	34	63	12	0	97	0	40
 2056	34	34	62	12	0	98	0	40
 2101	34	34	62	12	0	98	0	40
 2147	34	34	62	12	0	99	0	40
 2192	34	34	62	12	0	100	0	40
 2237	34	34	62	12	0	101	0	40
 2283	34	34	62	12	0	101	0	40
 2328	34	34	62	12	0	102	0	40
 2373	34	34	62	12	0	103	0	40
 2419	34	34	62	12	0	104	0	40
 2464	34	34	62	12	0	104	0	40
 2509	34	34	62	12	0	105	0	40
 2555	34	34	62	12	0	106	0	40
 2600	34	34	61	12	0	107	0	40
 2645	34	34	61	12	0	107	0	40
 2691	34	34	61	12	0	108	0	40
 2736	34	34	61	12	0	109	0	40
 2782	34	34	61	12	0	110	0	40
 2827	34	34	62	12	0	110	0	40
 2872	34	34	61	12	0	111	0	40
 2918	34	34	61	12	0	112	0	40
 2963	34	34	61	12	0	113	0	40
 3008	34	34	61	12	0	113	0	40
 3054	34	34	61	12	0	114	0	40
 3099	34	34	61	12	0	115	0	40
 3144	34	34	61	12	0	116	0	40
 3190	34	34	61	12	0	117	0	40
 3235	34	34	61	12	0	117	0	40
 3280	34	34	61	12	0	118	0	40
 3326	34	34	61	12	0	119	0	40
 3371	34	34	61	12	0	120	0	40
 3416	34	34	61	12	0	120	0	40
 3462	34	34	61	12	0	121	0	40
 3507	34	34	61	12	0	122	0	40
 3553	34	34	61	12	0	123	0	40
 3598	34	34	61	12	0	123	0	40
 3643	34	34	61	4	1	64	0	40
 3689	34	34	61	4	1	65	0	40
 3734	34	34	61	4	1	66	0	40
 3779	34	34	61	4	1	66	0	40
 3825	34	34	61	4	1	67	0	40
 3870	34	34	61	4	1	68	0	40
 3915	34	34	61	4	1	69	0	40
 3961	34	34	61	4	1	69	0	40
 4006	34	34	61	4	1	70	0	40
 4051	34	34	61	4	1	71	0	40
 4097	34	34	61	4	1	72	0	40
 4142	34	34	61	4	1	72	0	40
 4188	34	34	61	4	1	73	0	40
 4233	34	34	61	4	1	74	0	40
 4278	34	34	61	4	1	75	0	40
 4324	34	34	61	4	1	75	0	40
 4369	34	34	61	4	1	76	0	40
 4414	34	34	61	4	1	77	0	40
 4460	34	34	60	4	1	78	0	40
 4505	34	34	60	4	1	78	0	40
 4550	34	34	60	4	1	79	0	40
 4596	34	34	60	4	1	80	0	39
 4641	34	34	60	4	1	81	0	39
 4686	34	34	60	4	1	81	0	39
 4732	34	34	60	4	1	82	0	40
 4777	34	34	60	4	1	83	0	40
 4822	34	34	60	4	1	84	0	39
 4868	34	34	61	4	1	84	0	39
 4913	34	34	60	4	1	85	0	39
 4959	34	34	60	4	1	86	0	39
 5004	34	34	60	4	1	87	0	39
 5049	34	34	60	4	1	87	0	39
 5095	34	34	60	4	1	88	0	39
 5140	34	34	60	4	1	89	0	39
 5185	34	34	60	4	1	90	0	39
 5231	34	34	60	4	1	91	0	39
 5277	34	34	60	4	1	91	0	39
 5322	34	34	61	4	1	92	0	39
 5367	34	34	60	4	1	93	0	39
 5412	34	34	60	12	1	94	0	39
 5457	34	34	60	12	1	94	0	39
 5503	34	34	60	12	1	95	0	39
 5548	34	34	60	12	1	96	0	39
 5593	34	34	60	12	1	97	0	39
 5639	34	34	60	12	1	97	0	39
 5684	34	34	60	12	1	98	0	39
